claim_id,claim_text,status,source_files,source_scripts,target_figure_or_table,risk_level,main_or_appendix
C035,Step win rate 0/42 (0%) with -945% mean advantage,partial,results/tier2_benchmark/;results/tier3_benchmark/,run_full_benchmark.py,narrative,high,main
C036,Heston win rate 0/6 (0%) with -198% mean advantage,partial,results/tier2_benchmark/;results/tier3_benchmark/,run_full_benchmark.py,narrative,high,main
C037,DML wins in 112/174 (64.4%) of configs overall (best of fixed/gradnorm/relobralo),partial,results/tier2_benchmark/;results/tier3_benchmark/,run_full_benchmark.py,fig:winrate,high,main
C038,Smooth functions tolerate extreme noise (poly_trig sigma>5),supported,results/gradient_noise_sweep/,scripts/noise_sweep launcher,tab:noise,medium,main
C039,Trig crosses over near sigma approx 0.5,supported,results/gradient_noise_sweep/,scripts/noise_sweep launcher,tab:noise,medium,main
C040,dml_fixed mean rank 1.0 win rate 39.1% in controlled benchmark,partial,results/tier2_benchmark/;results/tier3_benchmark/,run_full_benchmark.py,narrative,high,main
C041,vanilla mean rank 2.0 win rate 24.1%,partial,results/tier2_benchmark/;results/tier3_benchmark/,run_full_benchmark.py,narrative,medium,main
C042,gradnorm mean rank 3.0 win rate 21.3%,partial,results/tier2_benchmark/;results/tier3_benchmark/,run_full_benchmark.py,narrative,medium,main
C043,relobralo mean rank 4.0 win rate 15.5%,partial,results/tier2_benchmark/;results/tier3_benchmark/,run_full_benchmark.py,narrative,medium,main
C044,lambda_j formula ablation shows value MSE ratio = 1.000 across all 5 datasets,supported,results/lambda_j_ablation/,scripts/run_revision_experiments.py,tab:lambda_j,medium,main
C045,Classical baseline comparison uses 3405 experiments,supported,results/tier5_extended_baselines/;results/tier2_benchmark/,run_full_benchmark.py,narrative,medium,main
C046,Neural DML beats GP in 58.8% of configurations,supported,results/tier5_extended_baselines/;results/tier2_benchmark/,run_full_benchmark.py,tab:classical,medium,main
C047,Neural DML beats KRR in 97.6% of configurations,supported,results/tier5_extended_baselines/;results/tier2_benchmark/,run_full_benchmark.py,tab:classical,medium,main
C048,Neural DML beats RF in 86.2% of configurations,supported,results/tier5_extended_baselines/;results/tier2_benchmark/,run_full_benchmark.py,tab:classical,medium,main
C049,DML with 256 samples matches vanilla with 4096 samples on poly_trig d=20 (16x gain),partial,results/tier2_benchmark/;results/tier3_benchmark/,run_full_benchmark.py,narrative,medium,main
C050,SPY data: 758 trading days 2020-01 to 2022-12 1.58M contracts,supported,results/spy_options_temporal/,experiments/real_data_spy/run_spy_temporal.py,narrative,low,main
C051,SPY DML fixed lambda achieves -20.7% value MSE and 263x gradient improvement p=0.002 (regenerated 2026-04-16),supported,results/spy_options_temporal/,experiments/real_data_spy/run_spy_experiment.py,tab:spy,high,main
C052,SPY DML ReLoBRaLo achieves -10.5% value and 110x gradient improvement p=0.002 (regenerated 2026-04-16),supported,results/spy_options_temporal/,experiments/real_data_spy/run_spy_experiment.py,tab:spy,medium,main
C053,SPY DML GradNorm achieves -5.7% value and 81x gradient improvement p=0.002 (regenerated 2026-04-16),supported,results/spy_options_temporal/,experiments/real_data_spy/run_spy_experiment.py,tab:spy,medium,main
C054,SPY DML Warmup achieves +1.2% value and 41x gradient improvement p=0.002 (regenerated 2026-04-16),supported,results/spy_options_temporal/,experiments/real_data_spy/run_spy_experiment.py,tab:spy,medium,main
C055,Purged walk-forward CV has 500 experiments across 5 folds,supported,results/spy_options_purged_cv/,experiments/real_data_spy/run_spy_purged_cv.py,narrative,medium,main
C056,Basket d=5 achieves 7.6x value improvement,supported,results/realworld/,realworld launcher,narrative,medium,main
C057,Basket d=20 achieves 15.3x value improvement,supported,results/realworld/,realworld launcher,narrative,medium,main
C058,Basket d=50 achieves 64.0x value improvement,supported,results/realworld/,realworld launcher,narrative,medium,main
C059,Yield curve FRED 8-dim achieves 36.2x value improvement,supported,results/realworld/,realworld launcher,narrative,medium,main
C060,Yield curve fixed lambda 36.2x vs ReLoBRaLo 2.9x,supported,results/realworld/,realworld launcher,narrative,low,main
C061,rMD17 ethanol d=36 DML achieves 10.4x gradient and 7.5x value improvement,partial,results/gnn_md17/,md17 launcher,tab:md17,high,main
C062,rMD17 aspirin d=210 all DML variants degrade,partial,results/gnn_md17/,md17 launcher,tab:md17,medium,main
C063,Burgers 1D nu=0.01 d=2 DML provides +0.2% value and 1.0x gradient,supported,results/burgers_1d_results.json,scripts/run_burgers_experiment.py,narrative,medium,main
C064,Step function pathwise gradient degrades DML by -945% on average,partial,results/tier2_benchmark/;results/tier3_benchmark/,run_full_benchmark.py,narrative,medium,main
C065,Fuzzy smoothing mitigates step discontinuity to 0.9--1.6% penalty on barrier options,supported,results/unified_comparison/multi_seed/,experiments/unified_comparison/run_unified_experiment.py,narrative,medium,main
C066,Heston MC Greeks have sigma_1/sigma_0 approx 50 yielding -198% advantage,partial,results/tier2_benchmark/;results/tier3_benchmark/,run_full_benchmark.py,narrative,medium,main
C067,Real-world data represents about 3% of experiments,supported,results/spy_options_temporal/;results/spy_options_purged_cv/;results/gnn_md17/;results/realworld/,various,narrative,low,main
C068,Total compute ~586 hours on 2x NVIDIA RTX A6000,unsupported,?,?,narrative,low,main
C069,111 pytest tests released,unsupported,?,?,narrative,low,main
C070,Architecture uses 4 hidden layers x 256 units softplus activation,supported,results/tier1_benchmark/;results/tier2_benchmark/,run_full_benchmark.py,narrative,low,main
C071,Adam optimizer lr=5e-3 ReduceLROnPlateau factor=0.5 patience=20,supported,results/tier1_benchmark/;results/tier2_benchmark/,run_full_benchmark.py,narrative,low,main
C072,Early stopping patience 50 on validation total loss,supported,results/tier1_benchmark/;results/tier2_benchmark/,run_full_benchmark.py,narrative,low,main
C073,Warmup uses 250 epochs Phase 1 value-only then 250 epochs with derivatives,supported,results/warmup_experiments/,warmup launcher,narrative,low,main
C074,GradNorm uses separate Adam optimizer lr=0.025 alpha=1.5,supported,results/tier1_benchmark/;results/tier2_benchmark/,run_full_benchmark.py,narrative,low,main
C075,ReLoBRaLo parameters tau=1.0 rho=0.999,supported,results/tier1_benchmark/;results/tier2_benchmark/,run_full_benchmark.py,narrative,low,main
C076,Appendix total 21555 experiments across all directories,supported,results/,various,narrative,medium,appendix
C077,Higher-order DML uses 100 experiments on poly_trig and trig at d in {2/5/10} with 5 seeds,supported,results/higher_order_dml/,higher-order launcher,tab:higherorder,low,appendix
C078,poly_trig d=2 order 3 reaches value MSE 3.42e-09 gradient MSE 8.66e-08,supported,results/higher_order_dml/,higher-order launcher,tab:higherorder,low,appendix
C079,poly_trig d=2 order 3 provides 4600x improvement over vanilla,supported,results/higher_order_dml/,higher-order launcher,narrative,low,appendix
C080,Each additional derivative order incurs 5--10x compute overhead,supported,results/higher_order_dml/,higher-order launcher,narrative,low,appendix
C081,poly_trig d=10 Hessian gives 89x gradient improvement vs vanilla,supported,results/higher_order_dml/,higher-order launcher,tab:higherorder,low,appendix
C082,Higher-order recommended for d<=5 with smooth targets,supported,results/higher_order_dml/,higher-order launcher,narrative,low,appendix
C083,Best per-dataset digital_bs Warmup(LRM) -0.4% value penalty 395.2x gradient,supported,results/unified_comparison/multi_seed/,experiments/unified_comparison/run_unified_experiment.py,tab:unified_summary,medium,appendix
C084,Best per-dataset barrier_bs Warmup(Fuzzy) +0.9% 50.2x gradient,supported,results/unified_comparison/multi_seed/,experiments/unified_comparison/run_unified_experiment.py,tab:unified_summary,medium,appendix
C085,Best per-dataset heston_digital Warmup(Fuzzy) -0.7% 360.0x gradient,supported,results/unified_comparison/multi_seed/,experiments/unified_comparison/run_unified_experiment.py,tab:unified_summary,medium,appendix
C086,Best per-dataset basket d=1 Warmup(LRM) -1.5% 356.1x gradient,supported,results/unified_comparison/multi_seed/,experiments/unified_comparison/run_unified_experiment.py,tab:unified_summary,medium,appendix
C087,Best per-dataset basket d=7 DML fixed(Fuzzy) -1.6% 61.4x gradient,supported,results/unified_comparison/multi_seed/,experiments/unified_comparison/run_unified_experiment.py,tab:unified_summary,medium,appendix
C088,Fuzzy methods mean rank range 1.8--4.6 (ranks 1/2/4),supported,results/unified_comparison/multi_seed/,experiments/unified_comparison/run_unified_experiment.py,tab:unified_best,low,appendix
C089,LRM methods mean rank range 3.4--6.0 (ranks 3/5/6),supported,results/unified_comparison/multi_seed/,experiments/unified_comparison/run_unified_experiment.py,tab:unified_best,low,appendix
C090,Pathwise methods mean rank range 6.4--9.8 (ranks 7--10),supported,results/unified_comparison/multi_seed/,experiments/unified_comparison/run_unified_experiment.py,tab:unified_best,low,appendix
C091,Compute-matched controls use 175 experiments (7 methods x 5 datasets x 5 seeds),supported,results/compute_matched_controls/,scripts/run_revision_experiments.py,tab:controls,low,appendix
C092,digital_bs warmup 68.6x gradient improvement vs vanilla,supported,results/compute_matched_controls/,scripts/run_revision_experiments.py,tab:controls,low,appendix
C093,barrier_bs warmup 22.9x gradient improvement vs vanilla,supported,results/compute_matched_controls/,scripts/run_revision_experiments.py,tab:controls,low,appendix
C094,heston_digital warmup 72.3x gradient improvement vs vanilla,supported,results/compute_matched_controls/,scripts/run_revision_experiments.py,tab:controls,low,appendix
C095,vanilla_no_es produces identical metrics to vanilla (0% delta) across all 5 datasets,supported,results/compute_matched_controls/,scripts/run_revision_experiments.py,tab:controls,medium,appendix
C096,Warmup achieves 1.1--72.3x gradient improvement over vanilla,supported,results/compute_matched_controls/,scripts/run_revision_experiments.py,tab:controls,medium,appendix
C097,lambda_j ablation across 51 experiments on 5 unified comparison datasets,supported,results/lambda_j_ablation/,scripts/run_revision_experiments.py,tab:lambda_j,low,appendix
C098,Fuzzy epsilon sweep on digital_bs uses 50 experiments 5 seeds,supported,results/fuzzy_sensitivity.json,scripts/run_fuzzy_sensitivity.py,tab:fuzzy_sens,low,appendix
C099,Default epsilon_mult=0.5 achieves lowest gradient MSE (4.18e-07),supported,results/fuzzy_sensitivity.json,scripts/run_fuzzy_sensitivity.py,tab:fuzzy_sens,low,appendix
C100,epsilon_mult=2.0 degrades significantly (1.85e-05 gradient MSE),supported,results/fuzzy_sensitivity.json,scripts/run_fuzzy_sensitivity.py,tab:fuzzy_sens,low,appendix
C101,Tier 3 has 320 non-default-lambda experiments out of 9566,partial,results/tier3_benchmark/,run_full_benchmark.py --tier 3,narrative,low,appendix
C102,lambda=10.0 shows +15--40% value penalty on discontinuous functions,partial,results/tier3_benchmark/,run_full_benchmark.py --tier 3,narrative,low,appendix
C103,Extended dimensions d=50 d=100 use tier5 extended benchmark ~160 experiments,supported,results/tier5_extended_baselines/,tier5 extended baselines launcher,tab:highdim,low,appendix
C104,At d=50 DML maintains 13% gradient improvement over vanilla,supported,results/tier5_extended_baselines/,tier5 extended baselines launcher,tab:highdim,medium,appendix
C105,At d=100 DML maintains 11% gradient improvement over vanilla,supported,results/tier5_extended_baselines/,tier5 extended baselines launcher,tab:highdim,medium,appendix
C106,RF gradient predictions fail catastrophically 100--200x worse than vanilla,supported,results/tier5_extended_baselines/,tier5 extended baselines launcher,tab:highdim,low,appendix
C107,Architecture ablation uses 30 experiments (3 archs x 5 seeds) on poly_trig d=10 n=1024,supported,results/tier5_arch_ablation/,arch ablation launcher,tab:arch,low,appendix
C108,Small 2x128 arch DML achieves 222x gradient improvement,supported,results/tier5_arch_ablation/,arch ablation launcher,tab:arch,low,appendix
C109,Default 4x256 arch DML achieves 381x gradient improvement (best),supported,results/tier5_arch_ablation/,arch ablation launcher,tab:arch,medium,appendix
C110,Large 6x512 arch DML achieves 342x gradient improvement,supported,results/tier5_arch_ablation/,arch ablation launcher,tab:arch,low,appendix
C111,Vanilla gradient MSE identical (1.18) across all 3 architectures,supported,results/tier5_arch_ablation/,arch ablation launcher,tab:arch,medium,appendix
C112,Noise crossover sweep uses 170 experiments (2 funcs x 2 dims x 5 seeds x 8 sigmas),supported,results/gradient_noise_sweep/,scripts/noise_sweep launcher,tab:noise,low,appendix
C113,poly_trig d=2 sigma* = 0.056,supported,results/gradient_noise_sweep/,scripts/noise_sweep launcher,narrative,low,appendix
C114,poly_trig d=5 sigma* = 0.205,supported,results/gradient_noise_sweep/,scripts/noise_sweep launcher,narrative,low,appendix
C115,trig d=2 sigma* = 0.130,supported,results/gradient_noise_sweep/,scripts/noise_sweep launcher,narrative,low,appendix
C116,step d=100 sigma* = 0.026,supported,results/gradient_noise_sweep/,scripts/noise_sweep launcher,narrative,low,appendix
C117,Teacher-student study uses 6 configurations (poly_trig d in {2/5/10/50} + bachelier d in {5/10}),supported,results/learned_derivatives/,learned-derivatives launcher,tab:teacher,low,appendix
C118,Teacher DML captures 54--100% of true-DML benefit (mean 87.8%),supported,results/learned_derivatives/,learned-derivatives launcher,tab:teacher,medium,appendix
C119,Teacher-grad cosine similarity drops from 0.999 (d=2) to 0.646 (d=50),supported,results/learned_derivatives/,learned-derivatives launcher,narrative,low,appendix
C120,bachelier d=5 teacher captures 99.8% of DML benefit,supported,results/learned_derivatives/,learned-derivatives launcher,tab:teacher,low,appendix
C121,poly_trig d=10 teacher captures 75.6% of DML benefit,supported,results/learned_derivatives/,learned-derivatives launcher,tab:teacher,low,appendix
C122,poly_trig d=50 teacher captures 53.8% of DML benefit,supported,results/learned_derivatives/,learned-derivatives launcher,tab:teacher,low,appendix
C123,rMD17 ethanol vanilla grad MSE 193.6 DML fixed 18.6,partial,results/gnn_md17/,md17 launcher,tab:md17,high,appendix
C124,rMD17 aspirin all DML variants increase gradient MSE by 12--14%,partial,results/gnn_md17/,md17 launcher,tab:md17,medium,appendix
C125,Classical baselines: GP RBF kernel KRR poly kernel RF 100 trees,supported,results/tier5_extended_baselines/,tier5 extended baselines launcher,narrative,low,appendix
C126,bachelier vs GP win rate 57.3%,supported,results/tier5_extended_baselines/;results/tier2_benchmark/,run_full_benchmark.py,tab:classical,low,appendix
C127,black_scholes vs GP win rate 100%,supported,results/tier5_extended_baselines/;results/tier2_benchmark/,run_full_benchmark.py,tab:classical,low,appendix
C128,heston vs GP win rate 46.7%,supported,results/tier5_extended_baselines/;results/tier2_benchmark/,run_full_benchmark.py,tab:classical,low,appendix
C129,poly_trig vs GP win rate 23.2%,supported,results/tier5_extended_baselines/;results/tier2_benchmark/,run_full_benchmark.py,tab:classical,medium,appendix
C130,step vs GP win rate 86.2%,supported,results/tier5_extended_baselines/;results/tier2_benchmark/,run_full_benchmark.py,tab:classical,low,appendix
C131,trig vs GP win rate 34.8%,supported,results/tier5_extended_baselines/;results/tier2_benchmark/,run_full_benchmark.py,tab:classical,low,appendix
C132,DML beats all three classical baselines simultaneously in 46.1% of configs,supported,results/tier5_extended_baselines/;results/tier2_benchmark/,run_full_benchmark.py,narrative,medium,appendix
C133,GP limited to n<=8000 by O(n^3) scaling,unsupported,?,?,narrative,low,main
C134,LRM variance O(1/sigma) for low-volatility regimes,unsupported,?,?,narrative,low,main
C135,rMD17 ethanol 9 atoms aspirin 21 atoms,supported,results/gnn_md17/,md17 launcher,narrative,low,appendix
C136,Unified comparison total 1155 experiments (550 main + 550 v1 LRM rerun + 55 pilot),supported,results/unified_comparison/multi_seed/;results/unified_comparison/multi_seed_v1_lrm_eval/,experiments/unified_comparison/run_unified_experiment.py,narrative,low,appendix
C137,Higher-order DML 100 experiments total,supported,results/higher_order_dml/,higher-order launcher,narrative,low,appendix
C138,realworld (basket/yield/MD17) 141 experiments,supported,results/realworld/,realworld launcher,narrative,low,appendix
C139,learned_derivatives 6 experiments,supported,results/learned_derivatives/,learned-derivatives launcher,narrative,low,appendix
C140,gnn_md17 20 experiments,partial,results/gnn_md17/,md17 launcher,narrative,low,appendix
C141,gradient_noise_sweep 180 experiments,supported,results/gradient_noise_sweep/,scripts/noise_sweep launcher,narrative,low,appendix
C142,lrm_comparison 920 experiments,supported,results/lrm_comparison/,experiments/lrm_comparison/run_lrm_eval.py,narrative,low,appendix
C143,spy_options (original + temporal) 180 experiments,supported,results/spy_options/;results/spy_options_temporal/,experiments/real_data_spy/run_spy_temporal.py,narrative,low,appendix
C144,spy_options_purged_cv 500 experiments,supported,results/spy_options_purged_cv/,experiments/real_data_spy/run_spy_purged_cv.py,narrative,medium,appendix
C145,warmup_experiments 120 experiments,supported,results/warmup_experiments/,warmup launcher,narrative,low,appendix
C146,compute_matched_controls 176 experiments,supported,results/compute_matched_controls/,scripts/run_revision_experiments.py,narrative,low,appendix
C147,lambda_j_ablation 51 experiments,supported,results/lambda_j_ablation/,scripts/run_revision_experiments.py,narrative,low,appendix
C148,gradnorm_fix 72 experiments,supported,results/gradnorm_fix/,gradnorm fix launcher,narrative,low,appendix
C149,tier5 extended + arch ablation 190 experiments,supported,results/tier5_extended_baselines/;results/tier5_arch_ablation/,tier5 launchers,narrative,low,appendix
C150,rMD17 uses 4x512 network for d>=36,supported,results/gnn_md17/,md17 launcher,narrative,low,main
C151,Synthetic corpus is ~17000 runs over 6 function families (revised abstract+intro),partial,results/tier1_benchmark/;results/tier2_benchmark/;results/tier3_benchmark/;results/tier4_benchmark/,run_full_benchmark.py,narrative,high,main
C152,Real-world domains add ~2500 runs across 4 domains (revised intro 2026-05-06),partial,results/spy_options_temporal_optionA/;results/spy_options_temporal_optionC/;results/spy_options_purged_cv_optionA/;results/spy_options_purged_cv_optionC/;results/molecular_painn/;results/molecular_mlp/;results/molecular_gatv2/;results/burgers/;results/darcy/;results/era5/;results/heston_barrier_4way/,various,narrative,high,main
C153,Eleven method-paradigm pairs evaluated (5 pathwise + 3 LRM + 2 fuzzy + vanilla zero-row),supported,results/unified_comparison/multi_seed/,experiments/unified_comparison/run_unified_experiment.py,tab:methods,medium,main
C154,Total compute ~1030 GPU-h breakdown 250h synth/230h rMD17/370h PDE/145h SPY/35h ERA5+extrap+ablations,unsupported,?,?,narrative,low,main
C155,Smooth zero-noise cells median ~13x value-MSE reduction,supported,results/tier1_benchmark/;results/tier2_benchmark/;results/tier3_benchmark/,run_full_benchmark.py,abstract,high,main
C156,DML reduces gradient MSE on 96.8% of synthetic configs at sigma=0,supported,results/tier1_benchmark/;results/tier2_benchmark/;results/tier3_benchmark/,run_full_benchmark.py,tab:winrate-function,high,main
C157,DML reduces value MSE on 66.7% of synthetic configs at sigma=0 (85.7% on smooth families),supported,results/tier1_benchmark/;results/tier2_benchmark/;results/tier3_benchmark/,run_full_benchmark.py,tab:winrate-function,high,main
C158,poly_trig win rate 100% grad / 97.7% value at sigma=0 (n=300),supported,results/tier1_benchmark/;results/tier2_benchmark/;results/tier3_benchmark/,run_full_benchmark.py,tab:winrate-function,medium,main
C159,trig win rate 97.1% grad / 59.6% value at sigma=0 (n=240),supported,results/tier1_benchmark/;results/tier2_benchmark/;results/tier3_benchmark/,run_full_benchmark.py,tab:winrate-function,medium,main
C160,bachelier win rate 99.5% grad / 97.6% value at sigma=0 (n=210),supported,results/tier1_benchmark/;results/tier2_benchmark/;results/tier3_benchmark/,run_full_benchmark.py,tab:winrate-function,medium,main
C161,black_scholes win rate 100% grad / 91.4% value at sigma=0 (n=35),supported,results/tier1_benchmark/;results/tier2_benchmark/;results/tier3_benchmark/,run_full_benchmark.py,tab:winrate-function,medium,main
C162,step win rate 99.6% grad / 11.7% value at sigma=0 (n=230),supported,results/tier1_benchmark/;results/tier2_benchmark/;results/tier3_benchmark/,run_full_benchmark.py,tab:winrate-function,medium,main
C163,heston win rate 28.6% grad / 0.0% value at sigma=0 (n=35),supported,results/tier1_benchmark/;results/tier2_benchmark/;results/tier3_benchmark/,run_full_benchmark.py,tab:winrate-function,medium,main
C164,poly_trig d=20 sigma=0 16x data-efficiency gain (value MSE 0.199 at n=256 vs vanilla 0.277 at n=4096),supported,results/tier3_benchmark/,run_full_benchmark.py --tier 3,narrative,medium,main
C165,sigma_star poly_trig 0.195 [0.163-0.259],supported,results/tier3_benchmark/;results/tier4_benchmark/,run_full_benchmark.py;sigma_star_lowess.py,tab:sigma-star,high,main
C166,sigma_star trig 0.098 [0.075-0.137],supported,results/tier3_benchmark/;results/tier4_benchmark/,run_full_benchmark.py;sigma_star_lowess.py,tab:sigma-star,high,main
C167,sigma_star bachelier undefined (DML wins at every observed sigma),supported,results/tier3_benchmark/;results/tier4_benchmark/,run_full_benchmark.py;sigma_star_lowess.py,tab:sigma-star,medium,main
C168,Friedman omnibus 12-method disc-payoff p=7.2e-5,supported,results/unified_comparison/multi_seed/,experiments/unified_comparison/run_unified_experiment.py;cd_diagram.py,fig:cd-disc,high,main
C169,Warmup-fuzzy ranks 1.8/12 on disc-payoff CD diagram,supported,results/unified_comparison/multi_seed/,experiments/unified_comparison/run_unified_experiment.py,fig:cd-disc,high,main
C170,Pathwise+GradNorm and pathwise+ReLoBRaLo tie at 11.2 mean rank on disc-payoff,supported,results/unified_comparison/multi_seed/,experiments/unified_comparison/run_unified_experiment.py,fig:cd-disc,medium,main
C171,Vanilla mean rank 5.8 on disc-payoff CD diagram,supported,results/unified_comparison/multi_seed/,experiments/unified_comparison/run_unified_experiment.py,fig:cd-disc,medium,main
C172,SPY DML cuts test value MSE 1.7-2.5x at both training sizes both supervisors,supported,results/spy_options_temporal_optionA/;results/spy_options_temporal_optionC/,experiments/real_data_spy/run_spy_temporal.py,tab:spy-bs-temporal,high,main
C173,SPY temporal n_train=10000 BS-target vanilla 1.7e-8 to DML fixed 6.8e-9,supported,results/spy_options_temporal_optionA/,experiments/real_data_spy/run_spy_temporal.py,tab:spy-bs-temporal,high,main
C174,SPY temporal n_train=50000 BS-target vanilla 9.9e-10 to DML fixed 5.9e-10,supported,results/spy_options_temporal_optionA/,experiments/real_data_spy/run_spy_temporal.py,tab:spy-bs-temporal,medium,main
C175,SPY purged-CV uses 1200 cells (300 per supervisor x 2 supervisors),supported,results/spy_options_purged_cv_optionA/;results/spy_options_purged_cv_optionC/,experiments/real_data_spy/run_spy_purged_cv.py,tab:headline,medium,main
C176,SPY data 1576419 tuples over 758 trading days,supported,results/spy_options_temporal_optionA/;results/spy_options_temporal_optionC/,experiments/real_data_spy/run_spy_temporal.py,narrative,low,main
C177,SVI calibration accepts 23335/23336 slices median IV residual 0.016,supported,results/spy_options_temporal_optionC/,scripts/run_spy_svi.py,narrative,low,main
